118	179	100	28     0.1
1.e-5	5 
1  69	
0
1	1	2	0.03030	0.09990	0.01270 
2	1	3	0.01290	0.04240	0.00541 
3	4	5	0.00176	0.00798	0.00105 
4	3	5	0.02410	0.10800	0.01420 
5	5	6	0.01190	0.05400	0.00713 
6	6	7	0.00459	0.02080	0.00275 
7	8	9	0.00244	0.03050	0.58100 
8	9	10	0.00258	0.03220	0.61500 
9	4	11	0.02090	0.06880	0.00874 
10	5	11	0.02030	0.06820	0.00869 
11	11	12	0.00595	0.01960	0.00251 
12	2	12	0.01870	0.06160	0.00786 
13	3	12	0.04840	0.16000	0.02030 
14	7	12	0.00862	0.03400	0.00437 
15	11	13	0.02225	0.07310	0.00938 
16	12	14	0.02150	0.07070	0.00908 
17	13	15	0.07440	0.24440	0.03134 
18	14	15	0.05950	0.19500	0.02510 
19	12	16	0.02120	0.08340	0.01070 
20	15	17	0.01320	0.04370	0.02220 
21	16	17	0.04540	0.18010	0.02330 
22	17	18	0.01230	0.05050	0.00649 
23	18	19	0.01119	0.04930	0.00571 
24	19	20	0.02520	0.11700	0.01490 
25	15	19	0.01200	0.03940	0.00505 
26	20	21	0.01830	0.08490	0.01080 
27	21	22	0.02090	0.09700	0.01230 
28	22	23	0.03420	0.15900	0.02020 
29	23	24	0.01350	0.04920	0.02490 
30	23	25	0.01560	0.08000	0.04320 
31	25	27	0.03180	0.16300	0.08820 
32	27	28	0.01913	0.08550	0.01080 
33	28	29	0.02370	0.09430	0.01190 
34	8	30	0.00431	0.05040	0.25700 
35	26	30	0.00799	0.08600	0.45400 
36	17	31	0.04740	0.15630	0.01995 
37	29	31	0.01080	0.03310	0.00415 
38	23	32	0.03170	0.11530	0.05865 
39	31	32	0.02980	0.09850	0.01255 
40	27	32	0.02290	0.07550	0.00963 
41	15	33	0.03800	0.12440	0.01597 
42	19	34	0.07520	0.24700	0.03160 
43	35	36	0.00224	0.01020	0.00134 
44	35	37	0.01100	0.04970	0.00659 
45	33	37	0.04150	0.14200	0.01830 
46	34	36	0.00871	0.02680	0.00284 
47	34	37	0.00256	0.00940	0.00492 
48	37	39	0.03210	0.10600	0.01350 
49	37	40	0.05930	0.16800	0.02100 
50	30	38	0.00464	0.05400	0.21100 
51	39	40	0.01840	0.06050	0.00776 
52	40	41	0.01450	0.04870	0.00611 
53	40	42	0.05550	0.18300	0.02330 
54	41	42	0.04100	0.13500	0.01720 
55	43	44	0.06080	0.24540	0.03034 
56	34	43	0.04130	0.16810	0.02113 
57	44	45	0.02240	0.09010	0.01120 
58	45	46	0.04000	0.13560	0.01660 
59	46	47	0.03800	0.12700	0.01580 
60	46	48	0.06010	0.18900	0.02360 
61	47	49	0.01910	0.06250	0.00802 
62	42	49	0.07150	0.32300	0.04300 
63	42	49	0.07150	0.32300	0.04300 
64	45	49	0.06840	0.18600	0.02220 
65	48	49	0.01790	0.05050	0.00629 
66	49	50	0.02670	0.07520	0.00937 
67	49	51	0.04860	0.13700	0.01710 
68	51	52	0.02030	0.05880	0.00698 
69	52	53	0.04050	0.16350	0.02029 
70	53	54	0.02630	0.12200	0.01550 
71	49	54	0.07300	0.28900	0.03690 
72	49	54	0.08690	0.29100	0.03650 
73	54	55	0.01690	0.07070	0.01010 
74	54	56	0.00275	0.00955	0.00366 
75	55	56	0.00488	0.01510	0.00187 
76	56	57	0.03430	0.09660	0.01210 
77	50	57	0.04740	0.13400	0.01660 
78	56	58	0.03430	0.09660	0.01210 
79	51	58	0.02550	0.07190	0.00894 
80	54	59	0.05030	0.22930	0.02990 
81	56	59	0.08250	0.25100	0.02845 
82	56	59	0.08030	0.23900	0.02680 
83	55	59	0.04739	0.21580	0.02823 
84	59	60	0.03170	0.14500	0.01880 
85	59	61	0.03280	0.15000	0.01940 
86	60	61	0.00264	0.01350	0.00728 
87	60	62	0.01230	0.05610	0.00734 
88	61	62	0.00824	0.03760	0.00490 
89	63	64	0.00172	0.02000	0.10800 
90	38	65	0.00901	0.09860	0.52300 
91	64	65	0.00269	0.03020	0.19000 
92	49	66	0.01800	0.09190	0.01240 
93	49	66	0.01800	0.09190	0.01240 
94	62	66	0.04820	0.21800	0.02890 
95	62	67	0.02580	0.11700	0.01550 
96	66	67	0.02240	0.10150	0.01341 
97	65	68	0.00138	0.01600	0.31900 
98	47	69	0.08440	0.27780	0.03546 
99	49	69	0.09850	0.32400	0.04140 
100	69	70	0.03000	0.12700	0.06100 
101	24	70	0.00221	0.41150	0.05099 
102	70	71	0.00882	0.03550	0.00439 
103	24	72	0.04880	0.19600	0.02440 
104	71	72	0.04460	0.18000	0.02222 
105	71	73	0.00866	0.04540	0.00589 
106	70	74	0.04010	0.13230	0.01684 
107	70	75	0.04280	0.14100	0.01800 
108	69	75	0.04050	0.12200	0.06200 
109	74	75	0.01230	0.04060	0.00517 
110	76	77	0.04440	0.14800	0.01840 
111	69	77	0.03090	0.10100	0.05190 
112	75	77	0.06010	0.19990	0.02489 
113	77	78	0.00376	0.01240	0.00632 
114	78	79	0.00546	0.02440	0.00324 
115	77	80	0.01700	0.04850	0.02360 
116	77	80	0.02940	0.10500	0.01140 
117	79	80	0.01560	0.07040	0.00935 
118	68	81	0.00175	0.02020	0.40400 
119	77	82	0.02980	0.08530	0.04087 
120	82	83	0.01120	0.03665	0.01898 
121	83	84	0.06250	0.13200	0.01290 
122	83	85	0.04300	0.14800	0.01740 
123	84	85	0.03020	0.06410	0.00617 
124	85	86	0.03500	0.12300	0.01380 
125	86	87	0.02828	0.20740	0.02225 
126	85	88	0.02000	0.10200	0.01380 
127	85	89	0.02390	0.17300	0.02350 
128	88	89	0.01390	0.07120	0.00967 
129	89	90	0.05180	0.18800	0.02640 
130	89	90	0.02380	0.09970	0.05300 
131	90	91	0.02540	0.08360	0.01070 
132	89	92	0.00990	0.05050	0.02740 
133	89	92	0.03930	0.15810	0.02070 
134	91	92	0.03870	0.12720	0.01634 
135	92	93	0.02580	0.08480	0.01090 
136	92	94	0.04810	0.15800	0.02030 
137	93	94	0.02230	0.07320	0.00938 
138	94	95	0.01320	0.04340	0.00555 
139	80	96	0.03560	0.18200	0.02470 
140	82	96	0.01620	0.05300	0.02720 
141	94	96	0.02690	0.08690	0.01150 
142	80	97	0.01830	0.09340	0.01270 
143	80	98	0.02380	0.10800	0.01430 
144	80	99	0.04540	0.20600	0.02730 
145	92	100	0.06480	0.29500	0.02360 
146	94	100	0.01780	0.05800	0.03020 
147	95	96	0.01710	0.05470	0.00737 
148	96	97	0.01730	0.08850	0.01200 
149	98	100	0.03970	0.17900	0.02380 
150	99	100	0.01800	0.08130	0.01080 
151	100	101	0.02770	0.12620	0.01640 
